hardware,batch,mode_id,status,gpu_count,lpu_count,pools,output_tps,ttft_s,tpot_ms,draft_prefix,reason
Vera-Rubin NV72 · 总GPU均分,32,pafd_split_draft_lpu,infeasible,72,768,PA=36GPU; PF=256LPU; DA=36GPU; DF=256LPU; draft=256LPU,,,,,"PF (groq-lpx3): requires 23.641 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 总GPU均分,32,prefill_gpu_decode_lpu,infeasible,72,768,PA=36GPU; PF=36GPU; DA=256LPU; DF=256LPU; draft=256LPU,,,,,"DA (groq-lpx3): requires 2.705 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 每GPU池,32,all_gpu,feasible,72,0,main=72GPU,16108.861842083974,0.4346964318529122,1.8808163543434344,0,
Vera-Rubin NV72 · 每GPU池,32,pd_gpu,feasible,144,0,prefill=72GPU; decode=72GPU,17018.043433053765,0.4346964318529122,1.8835802636572319,0,
Vera-Rubin NV72 · 每GPU池,32,pd_draft_gpu,feasible,216,0,prefill=72GPU; decode=72GPU; draft=72GPU,53543.29961350052,0.4346964318529122,0.7381523477561349,5,
Vera-Rubin NV72 · 每GPU池,32,pd_draft_lpu,infeasible,144,256,prefill=72GPU; decode=72GPU; draft=256LPU,,,,,"draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 每GPU池,32,pafd_split_draft_lpu,infeasible,144,768,PA=72GPU; PF=256LPU; DA=72GPU; DF=256LPU; draft=256LPU,,,,,"PF (groq-lpx3): requires 23.641 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 每GPU池,32,prefill_gpu_decode_lpu,infeasible,144,768,PA=72GPU; PF=72GPU; DA=256LPU; DF=256LPU; draft=256LPU,,,,,"DA (groq-lpx3): requires 2.705 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 总GPU均分,32,all_gpu,feasible,144,0,main=144GPU,17109.34564043834,0.23542040639527037,1.8132898567272728,0,
Vera-Rubin NV144 · 总GPU均分,32,pd_gpu,feasible,144,0,prefill=72GPU; decode=72GPU,17018.043433053765,0.4346964318529122,1.8835802636572319,0,
Vera-Rubin NV144 · 总GPU均分,32,pd_draft_gpu,feasible,144,0,prefill=48GPU; decode=48GPU; draft=48GPU,49170.22448568398,0.6377092862481825,0.801848024574543,5,
Vera-Rubin NV144 · 总GPU均分,32,pd_draft_lpu,infeasible,144,256,prefill=72GPU; decode=72GPU; draft=256LPU,,,,,"draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 总GPU均分,32,pafd_split_draft_lpu,infeasible,144,768,PA=72GPU; PF=256LPU; DA=72GPU; DF=256LPU; draft=256LPU,,,,,"PF (groq-lpx3): requires 23.641 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 总GPU均分,32,prefill_gpu_decode_lpu,infeasible,144,768,PA=72GPU; PF=72GPU; DA=256LPU; DF=256LPU; draft=256LPU,,,,,"DA (groq-lpx3): requires 2.705 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 每GPU池,32,all_gpu,feasible,144,0,main=144GPU,17109.34564043834,0.23542040639527037,1.8132898567272728,0,
Vera-Rubin NV144 · 每GPU池,32,pd_gpu,feasible,288,0,prefill=144GPU; decode=144GPU,17651.79146018271,0.23542040639527037,1.8160537660410703,0,
Vera-Rubin NV144 · 每GPU池,32,pd_draft_gpu,feasible,432,0,prefill=144GPU; decode=144GPU; draft=144GPU,59385.8048960907,0.23542040639527037,0.6704170935597957,5,
Vera-Rubin NV144 · 每GPU池,32,pd_draft_lpu,infeasible,288,256,prefill=144GPU; decode=144GPU; draft=256LPU,,,,,"draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 每GPU池,32,pafd_split_draft_lpu,infeasible,288,768,PA=144GPU; PF=256LPU; DA=144GPU; DF=256LPU; draft=256LPU,,,,,"PF (groq-lpx3): requires 23.641 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV144 · 每GPU池,32,prefill_gpu_decode_lpu,infeasible,288,768,PA=144GPU; PF=144GPU; DA=256LPU; DF=256LPU; draft=256LPU,,,,,"DA (groq-lpx3): requires 2.705 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.648 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.814 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 总GPU均分,64,all_gpu,feasible,72,0,main=72GPU,28435.82911870609,0.8693928637058244,2.0389253595959596,0,
Vera-Rubin NV72 · 总GPU均分,64,pd_gpu,feasible,72,0,prefill=36GPU; decode=36GPU,28486.42673653475,0.9419377307832991,2.249996580155844,0,
Vera-Rubin NV72 · 总GPU均分,64,pd_draft_gpu,feasible,72,0,prefill=24GPU; decode=24GPU; draft=24GPU,58591.54819596358,2.273871098993165,1.40828426880555,4,
Vera-Rubin NV72 · 总GPU均分,64,pd_draft_lpu,infeasible,72,256,prefill=36GPU; decode=36GPU; draft=256LPU,,,,,"draft (groq-lpx3): requires 0.824 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 总GPU均分,64,pafd_split_draft_lpu,infeasible,72,768,PA=36GPU; PF=256LPU; DA=36GPU; DF=256LPU; draft=256LPU,,,,,"PF (groq-lpx3): requires 43.641 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.656 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.824 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 总GPU均分,64,prefill_gpu_decode_lpu,infeasible,72,768,PA=36GPU; PF=36GPU; DA=256LPU; DF=256LPU; draft=256LPU,,,,,"DA (groq-lpx3): requires 2.728 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.656 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.824 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 每GPU池,64,all_gpu,feasible,72,0,main=72GPU,28435.82911870609,0.8693928637058244,2.0389253595959596,0,
Vera-Rubin NV72 · 每GPU池,64,pd_gpu,feasible,144,0,prefill=72GPU; decode=72GPU,31396.749525109823,0.8693928637058244,2.044394570164946,0,
Vera-Rubin NV72 · 每GPU池,64,pd_draft_gpu,feasible,216,0,prefill=72GPU; decode=72GPU; draft=72GPU,90805.48148807792,0.8693928637058244,0.9273440448510119,5,
Vera-Rubin NV72 · 每GPU池,64,pd_draft_lpu,infeasible,144,256,prefill=72GPU; decode=72GPU; draft=256LPU,,,,,"draft (groq-lpx3): requires 0.824 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 每GPU池,64,pafd_split_draft_lpu,infeasible,144,768,PA=72GPU; PF=256LPU; DA=72GPU; DF=256LPU; draft=256LPU,,,,,"PF (groq-lpx3): requires 43.641 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.656 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.824 GiB/device, available 0.500 GiB/device"
Vera-Rubin NV72 · 每GPU池,64,prefill_gpu_decode_lpu,infeasible,144,768,PA=72GPU; PF=72GPU; DA=256LPU; DF=256LPU; draft=256LPU,,,,,"DA (groq-lpx3): requires 2.728 GiB/device, available 0.500 GiB/device; DF (groq-lpx3): requires 3.656 GiB/device, available 0.500 GiB/device; draft (groq-lpx3): requires 0.824 GiB/device, available 0.500 GiB/device"
